what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1343539571329
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343539583212
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343539604101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343539637799
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343539641143
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343539665448
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343539680183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539697269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539731143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343539745892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539753623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539787464
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343539787499
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343539787649
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343539787692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539798616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539801809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539803758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539809631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539810073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539857463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539857487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343539860479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343539863915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343539864993
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343539891277
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343539908306
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343539915250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343540065899
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343540076715
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343540077016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343540077058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343540101981
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343540106328
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343540106328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343540111814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343540157710
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343540160367
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343540187339
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343540202586
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343540202779
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343540202821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343540224535
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343540229215
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343540229215
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343540244579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343540244761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343540247131
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343540247167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343540248878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343540256516
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343540257911
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343540257911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343540261643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343540929719
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343541819252
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343541819513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343541819587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343541849001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343541853001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343541853767
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1343541899846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343541936653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343541937802
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343541938765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343541944015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343541944982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343541949559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343541962978
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343541963011
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343541963187
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343541963251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1343541965046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343541968850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542330872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542330905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542332572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343542338641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343542340250
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343542341099
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1343542343247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343542346678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542359698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542436591
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343542439003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542561825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542563962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542565786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542779172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343542801867
