what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343455615223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455618578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455639042
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343455640465
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343455640662
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343455640754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1343455642349
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343455646323
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343455646323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343455647377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343455647881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343455648275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343455648770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343455649131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343455659849
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343455702289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343455763730
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343455766157
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343455773883
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343455780489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455812607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455819735
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343455837505
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343455841185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343455876393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455879904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455886915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343455921043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455925961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455932179
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343455932777
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343455944476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343455961332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455964272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455974515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343455979944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343455984146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343455990555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455993526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343455999482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456012094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456086652
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1343456096073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343456098008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456101274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456111166
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343456112315
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343456112505
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343456112582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1343456114190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343456116745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343456117184
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343456118823
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343456118823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456121733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456147637
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343456148784
