what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341353958411
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341353959504
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341353959504
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341353961690
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341353978615
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341353978691
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341353994282
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341353994282
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341354002622
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341354010435
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341354033395
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341354038096
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341354042691
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341354056086
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341354061687
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341354066158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1341354106887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341354136809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341354138982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341354139786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341354140229
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341354143582
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341354144321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341354164186
