what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342680249064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342680249698
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342680250811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342680252247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342680270861
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342680271884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342680278747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342680280704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342680285264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342680286833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342680289655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342680292132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342680317941
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342680317965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342680320598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342680326935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342680328764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342680925131
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342680927015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1342680933883
