what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286464906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286469400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343286508055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343286511053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343286520748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286524637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286550427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343286566736
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343286636476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343286653120
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343286654213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286655807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286661428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343286720439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286725532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286727728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343286762590
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1343286762872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343286764322
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1343286766180
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1343286767313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343286769019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343286773062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286775881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286788906
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343286793471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286841350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286848747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286855769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286945564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343286979374
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343286980931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286983043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343286991517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343286992600
