what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324038818
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343324047780
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324056615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324059021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324067504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324067642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324069262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324073426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324073583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324076342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343324122487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343324124928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343324133094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343324133263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324163861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324163991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324168589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324168696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324171051
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343324172781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324174594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324176314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324181131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324216165
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324218157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324226007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324232520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324277224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324324858
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343324330118
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324336057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324353742
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343324363037
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1343324368168
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324376306
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343324380617
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324396720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324407693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324508810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324511091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324511813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324512582
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343324529636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324563468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324582118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324585902
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324587492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324606173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324855327
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343324857857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324872857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324873605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324874086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324875272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324876279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324884492
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324885380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324898736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324901230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324905320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324914871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324918496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324919033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324919539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324919922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324920317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324920703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343324921038
